period,bars,first,last,open,close,high,low,net,net_pct,high_low,path,efficiency_ratio,avg_daily_range
1998,260,1998.01.02,1998.12.31,130.490,113.700,147.710,111.650,-16.790,-12.87,36.060,268.210,0.0626,2.123
1999,260,1999.01.04,1999.12.31,113.470,102.260,124.820,101.260,-11.210,-9.88,23.560,181.980,0.0616,1.458
2000,260,2000.01.03,2000.12.29,102.140,114.370,115.110,101.390,12.230,11.97,13.720,131.550,0.0930,1.056
2001,261,2001.01.01,2001.12.31,114.410,131.680,132.080,113.540,17.270,15.09,18.540,154.300,0.1119,1.201
2002,261,2002.01.01,2002.12.31,131.720,118.780,135.190,115.480,-12.940,-9.82,19.710,152.740,0.0847,1.190
2003,261,2003.01.01,2003.12.31,118.790,107.210,121.920,106.720,-11.580,-9.75,15.200,113.950,0.1016,1.003
2004,262,2004.01.01,2004.12.31,107.230,102.470,114.940,101.810,-4.760,-4.44,13.130,131.680,0.0361,1.060
2005,260,2005.01.03,2005.12.30,102.640,117.690,121.420,101.670,15.050,14.66,19.750,118.320,0.1272,0.937
2006,259,2006.01.02,2006.12.29,117.890,119.060,119.870,108.970,1.170,0.99,10.900,115.130,0.0102,0.967
2007,290,2007.01.02,2007.12.31,118.980,111.710,124.130,107.210,-7.270,-6.11,16.920,140.620,0.0517,0.917
2008,303,2008.01.01,2008.12.31,111.580,90.860,112.240,87.130,-20.720,-18.57,25.110,205.072,0.1010,1.323
2009,277,2009.01.02,2009.12.31,91.280,93.129,101.430,84.819,1.849,2.03,16.611,158.867,0.0116,1.162
2010,275,2010.01.03,2010.12.31,92.938,81.126,94.978,80.252,-11.812,-12.71,14.726,110.133,0.1073,0.849
2011,262,2011.01.03,2011.12.30,81.106,76.885,85.514,75.570,-4.221,-5.20,9.944,79.457,0.0531,0.670
2012,265,2012.01.02,2012.12.31,77.090,86.610,86.680,76.018,9.520,12.35,10.662,74.253,0.1282,0.551
2013,262,2013.01.01,2013.12.31,86.730,105.252,105.412,86.535,18.522,21.36,18.877,147.011,0.1260,1.057
2014,260,2014.01.01,2014.12.31,105.237,119.852,121.840,100.755,14.615,13.89,21.085,97.235,0.1503,0.736
2015,263,2015.01.02,2015.12.31,120.413,120.237,125.847,115.845,-0.176,-0.15,10.002,114.062,0.0015,0.919
2016,263,2016.01.04,2016.12.30,120.173,117.022,121.680,98.961,-3.151,-2.62,22.719,159.915,0.0197,1.197
2017,262,2017.01.02,2017.12.29,116.879,112.673,118.606,107.310,-4.206,-3.60,11.296,113.821,0.0370,0.892
2018,262,2018.01.02,2018.12.31,112.654,109.705,114.542,104.622,-2.949,-2.62,9.920,89.762,0.0329,0.699
2019,263,2019.01.02,2019.12.31,109.274,108.658,112.397,104.450,-0.616,-0.56,7.947,71.134,0.0087,0.565
2020,264,2020.01.02,2020.12.31,108.719,103.222,112.220,101.175,-5.497,-5.06,11.045,95.307,0.0577,0.725
2021,263,2021.01.04,2021.12.31,103.073,115.125,115.517,102.590,12.052,11.69,12.927,77.248,0.1560,0.582
2022,262,2022.01.03,2022.12.30,115.033,131.092,151.941,113.468,16.059,13.96,38.473,183.552,0.0875,1.369
2023,262,2023.01.02,2023.12.29,130.906,140.998,151.903,127.218,10.092,7.71,24.685,170.694,0.0591,1.291
2024,264,2024.01.02,2024.12.31,140.831,157.363,161.945,139.574,16.532,11.74,22.371,181.610,0.0910,1.386
2025,263,2025.01.02,2025.12.31,157.202,156.820,158.873,139.880,-0.382,-0.24,18.993,184.388,0.0021,1.333
2026,165,2026.01.02,2026.08.17,156.907,159.417,163.982,152.086,2.510,1.60,11.896,82.445,0.0304,1.011
